"STATISTIC","Statistic","TLIST(A1)","Year","C03514V04244","Electoral Division","UNIT","VALUE"
"IIA01","Household median gross income","2016","2016","01001","001 Carlow Urban, Co. Carlow","Euro","28511"
"IIA01","Household median gross income","2016","2016","01002","002 Graigue Urban, Co. Carlow","Euro","28645"
"IIA01","Household median gross income","2016","2016","01003","003 Clonmore, Co. Carlow","Euro","52789"
"IIA01","Household median gross income","2016","2016","01004","004 Hacketstown, Co. Carlow","Euro","35810"
"IIA01","Household median gross income","2016","2016","01005","005 Haroldstown, Co. Carlow","Euro","42365"
"IIA01","Household median gross income","2016","2016","01006","006 Kineagh, Co. Carlow","Euro","40869"
"IIA01","Household median gross income","2016","2016","01007","007 Rahill, Co. Carlow","Euro","46181"
"IIA01","Household median gross income","2016","2016","01008","008 Rathvilly, Co. Carlow","Euro","33833"
"IIA01","Household median gross income","2016","2016","01009","009 Tiknock, Co. Carlow","Euro","47937"
"IIA01","Household median gross income","2016","2016","01010","010 Williamstown, Co. Carlow","Euro","46926"
"IIA01","Household median gross income","2016","2016","01011","011 Agha, Co. Carlow","Euro","51626"
"IIA01","Household median gross income","2016","2016","01012","012 Ballinacarrig (Part Urban), Co. Carlow","Euro","54663"
"IIA01","Household median gross income","2016","2016","01013","013 Ballintemple, Co. Carlow","Euro","48895"
"IIA01","Household median gross income","2016","2016","01014","014 Ballon, Co. Carlow","Euro","44172"
"IIA01","Household median gross income","2016","2016","01015","015 Ballyellin, Co. Carlow","Euro","43107"
"IIA01","Household median gross income","2016","2016","01016","016 Ballymoon, Co. Carlow","Euro","53659"
"IIA01","Household median gross income","2016","2016","01017","017 Borris, Co. Carlow","Euro","35540"
"IIA01","Household median gross income","2016","2016","01018","018 Burton Hall, Co. Carlow","Euro","67335"
"IIA01","Household median gross income","2016","2016","01019","019 Carlow Rural (Part Urban), Co Carlow","Euro","39774"
"IIA01","Household median gross income","2016","2016","01020","020 Clogrenan, Co. Carlow","Euro","46253"
"IIA01","Household median gross income","2016","2016","01021","021 Clonegall, Co. Carlow","Euro","44779"
"IIA01","Household median gross income","2016","2016","01022","022 Corries, Co. Carlow","Euro","44033"
"IIA01","Household median gross income","2016","2016","01023","023 Cranemore, Co. Carlow","Euro","39915"
"IIA01","Household median gross income","2016","2016","01024","024 Fennagh, Co. Carlow","Euro","42981"
"IIA01","Household median gross income","2016","2016","01025","025 Garryhill, Co. Carlow","Euro","43594"
"IIA01","Household median gross income","2016","2016","01026","026 Grangeford, Co. Carlow","Euro","43537"
"IIA01","Household median gross income","2016","2016","01027","027 Johnstown, Co. Carlow","Euro","55718"
"IIA01","Household median gross income","2016","2016","01028","028 Kellistown, Co. Carlow","Euro","48071"
"IIA01","Household median gross income","2016","2016","01029","029 Kilbride, Co. Carlow","Euro","50372"
"IIA01","Household median gross income","2016","2016","01030","030 Killedmond, Co. Carlow","Euro","42754"
"IIA01","Household median gross income","2016","2016","01031","031 Killerrig, Co. Carlow","Euro","65153"
"IIA01","Household median gross income","2016","2016","01032","032 Leighlinbridge, Co. Carlow","Euro","41745"
"IIA01","Household median gross income","2016","2016","01033","033 Muinebeag (Bagenalstown) Rural, Co. Carlow","Euro","49288"
"IIA01","Household median gross income","2016","2016","01034","034 Muinebeag (Bagenalstown) Urban, Co. Carlow","Euro","33154"
"IIA01","Household median gross income","2016","2016","01035","035 Myshall, Co. Carlow","Euro","39547"
"IIA01","Household median gross income","2016","2016","01036","036 Nurney, Co. Carlow","Euro","52226"
"IIA01","Household median gross income","2016","2016","01037","037 Oldleighlin, Co. Carlow","Euro","49103"
"IIA01","Household median gross income","2016","2016","01038","038 Rathanna, Co. Carlow","Euro","37172"
"IIA01","Household median gross income","2016","2016","01039","039 Rathornan, Co. Carlow","Euro","44360"
"IIA01","Household median gross income","2016","2016","01040","040 Rathrush, Co. Carlow","Euro","51605"
"IIA01","Household median gross income","2016","2016","01041","041 Ridge, Co. Carlow","Euro","42550"
"IIA01","Household median gross income","2016","2016","01042","042 Shangarry, Co. Carlow","Euro","53731"
"IIA01","Household median gross income","2016","2016","01043","043 Sliguff, Co. Carlow","Euro","43219"
"IIA01","Household median gross income","2016","2016","01044","044 Tankardstown, Co. Carlow","Euro","47970"
"IIA01","Household median gross income","2016","2016","01045","045 Templepeter, Co. Carlow","Euro","49738"
"IIA01","Household median gross income","2016","2016","01046","046 Tullowbeg, Co. Carlow","Euro","52697"
"IIA01","Household median gross income","2016","2016","01047","047 Tullow Rural, Co. Carlow","Euro","48750"
"IIA01","Household median gross income","2016","2016","01048","048 Tullow Urban, Co. Carlow","Euro","34153"
"IIA01","Household median gross income","2016","2016","01049","049 Ballymurphy, Co. Carlow","Euro","39222"
"IIA01","Household median gross income","2016","2016","01050","050 Coonogue, Co. Carlow","Euro","35030"
